,car_ID,etat_de_route,carburant,turbo,nombre_portes,type_vehicule,roues_motrices,emplacement_moteur,empattement,longueur_voiture,largeur_voiture,hauteur_voiture,poids_vehicule,type_moteur,nombre_cylindres,moteur_cc3,systeme_carburant,taux_alésage,course,taux_compression,chevaux,tour_moteur,consommation_ville,consommation_autoroute,prix,modele,marque
105,106,3,gas,turbo,2,hayon,arriere,devant,2.32,4.34,1.72,1.26,1.57,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,7.8,200,5200,13.836151941176471,10.226721,19699.0,kicks,nissan
106,107,1,gas,standard,2,hayon,arriere,devant,2.52,4.53,1.72,1.26,1.57,soupapes en tête à manchon,6,2966.0,injection multipoint multipoint port unique,3.43,3.27,9.0,160,5200,12.379714894736843,9.40858332,18399.0,clipper,nissan
107,108,0,gas,standard,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.51,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,3.19,8.4,97,5000,12.379714894736843,9.800607625,11900.0,504,peugeot
108,109,0,diesel,turbo,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.6,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,8.400520821428572,7.127714636363637,13200.0,304,peugeot
109,110,0,gas,standard,4,break,arriere,devant,2.9,5.05,1.74,1.49,1.62,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,3.19,8.4,97,5000,12.379714894736843,9.800607625,12440.0,504 (sw),peugeot
110,111,0,diesel,turbo,4,break,arriere,devant,2.9,5.05,1.74,1.49,1.72,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,9.40858332,9.40858332,13860.0,504 turbo break,peugeot
111,112,0,gas,standard,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.54,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,2.19,8.4,95,5000,12.379714894736843,9.800607625,15580.0,504 gas 95ch,peugeot
112,113,0,diesel,turbo,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.63,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,8.400520821428572,7.127714636363637,16900.0,604sl,peugeot
113,114,0,gas,standard,4,break,arriere,devant,2.9,5.05,1.74,1.44,1.64,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,2.19,8.4,95,5000,12.379714894736843,9.800607625,16695.0,504 essence break,peugeot
114,115,0,diesel,turbo,4,break,arriere,devant,2.9,5.05,1.74,1.49,1.74,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,9.40858332,9.40858332,17075.0,505s turbo diesel,peugeot
115,116,0,gas,standard,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.54,ligne des cylindres,4,1966.0,injection multipoint multipoint port unique,3.46,3.19,8.4,97,5000,12.379714894736843,9.800607625,16630.0,504 gas 97ch,peugeot
116,117,0,diesel,turbo,4,berline,arriere,devant,2.74,4.74,1.74,1.44,1.63,ligne des cylindres,4,2491.0,injection indirecte,3.7,3.52,21.0,95,4150,8.400520821428572,7.127714636363637,17950.0,504 turbo,peugeot
117,118,0,gas,turbo,4,berline,arriere,devant,2.74,4.74,1.73,1.42,1.56,ligne des cylindres,4,2196.0,injection multipoint multipoint port unique,3.61,3.21,7.0,142,5600,13.067476833333334,9.800607625,18150.0,604sl,peugeot
118,119,1,gas,standard,2,hayon,avant,devant,2.38,4.0,1.62,1.29,0.96,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,6.357150891891892,5.736941048780488,5572.0,fury iii,plymouth
119,120,1,gas,turbo,2,hayon,avant,devant,2.38,4.0,1.62,1.29,1.06,ACT,4,1606.0,injection D monopoint,3.03,3.39,7.6,102,5500,9.800607625,7.840486100000001,7957.0,cricket,plymouth
120,121,1,gas,standard,4,hayon,avant,devant,2.38,4.0,1.62,1.29,0.98,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6229.0,fury iii,plymouth
121,122,1,gas,standard,4,berline,avant,devant,2.38,4.25,1.62,1.29,0.99,ACT,4,1475.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,6692.0,satellite custom (sw),plymouth
122,123,1,gas,standard,4,berline,avant,devant,2.38,4.25,1.62,1.29,1.1,ACT,4,1606.0,carburateur 2 corps,2.97,3.23,9.4,68,5500,7.587567193548387,6.189857447368421,7609.0,fury gran sedan,plymouth
123,124,-1,gas,standard,4,break,avant,devant,2.62,4.43,1.64,1.52,1.27,ACT,4,1999.0,carburateur 2 corps,3.35,3.46,8.5,88,5000,9.800607625,7.840486100000001,8921.0,valiant,plymouth
124,125,3,gas,turbo,2,hayon,arriere,devant,2.44,4.4,1.68,1.28,1.41,ACT,4,2556.0,injection D monopoint,3.59,3.86,7.0,145,5000,12.379714894736843,9.800607625,12764.0,duster,plymouth
125,126,3,gas,standard,2,hayon,arriere,devant,2.4,4.29,1.73,1.28,1.39,ACT,4,2474.0,injection multipoint multipoint port unique,3.94,3.11,9.5,143,5500,12.379714894736843,8.711651222222223,22018.0,macan,porsche
126,127,3,gas,standard,2,coupe,arriere,derrier,2.27,4.29,1.65,1.31,1.38,soupapes en tête à flux croisés,6,3179.0,injection multipoint multipoint port unique,3.74,2.9,9.5,207,5900,13.836151941176471,9.40858332,32528.0,panamera,porsche
127,128,3,gas,standard,2,coupe,arriere,derrier,2.27,4.29,1.65,1.31,1.38,soupapes en tête à flux croisés,6,3179.0,injection multipoint multipoint port unique,3.74,2.9,9.5,207,5900,13.836151941176471,9.40858332,34028.0,cayenne,porsche
128,129,3,gas,standard,2,decapotable,arriere,derrier,2.27,4.29,1.65,1.31,1.4,soupapes en tête à flux croisés,6,3179.0,injection multipoint multipoint port unique,3.74,2.9,9.5,207,5900,13.836151941176471,9.40858332,37028.0,boxter,porsche
129,130,1,gas,standard,2,hayon,arriere,devant,2.5,4.46,1.84,1.28,1.68,double ACT à soupapes en V,8,3327.0,injection multipoint multipoint port unique,3.94,3.11,10.0,288,5750,13.836151941176471,8.400520821428572,31400.5,cayenne,porsche
130,131,0,gas,standard,4,break,avant,devant,2.44,4.61,1.69,1.4,1.29,ACT,4,2163.0,injection multipoint multipoint port unique,3.46,3.9,8.7,90,5100,10.226721,7.587567193548387,9295.0,12tl,renault
131,132,2,gas,standard,2,hayon,avant,devant,2.44,4.49,1.69,1.28,1.23,ACT,4,2163.0,injection multipoint multipoint port unique,3.46,3.9,8.7,90,5100,10.226721,7.587567193548387,9895.0,5 gtl,renault
132,133,3,gas,standard,2,hayon,avant,devant,2.52,4.74,1.69,1.42,1.33,ACT,4,1983.0,injection multipoint multipoint port unique,3.54,3.07,9.31,110,5250,11.20069442857143,8.400520821428572,11850.0,99e,saab
133,134,2,gas,standard,4,berline,avant,devant,2.52,4.74,1.69,1.42,1.35,ACT,4,1983.0,injection multipoint multipoint port unique,3.54,3.07,9.3,110,5250,11.20069442857143,8.400520821428572,12170.0,99le,saab
134,135,3,gas,standard,2,hayon,avant,devant,2.52,4.74,1.69,1.42,1.35,ACT,4,1983.0,injection multipoint multipoint port unique,2.54,2.07,9.3,110,5250,11.20069442857143,8.400520821428572,15040.0,99le,saab
135,136,2,gas,standard,4,berline,avant,devant,2.52,4.74,1.69,1.42,1.38,ACT,4,1983.0,injection multipoint multipoint port unique,3.54,3.07,9.3,110,5250,11.20069442857143,8.400520821428572,15510.0,99gle,saab
136,137,3,gas,turbo,2,hayon,avant,devant,2.52,4.74,1.69,1.42,1.4,double ACT,4,1983.0,injection multipoint multipoint port unique,3.54,3.07,9.0,160,5500,12.379714894736843,9.046714730769231,18150.0,99gle,saab
137,138,2,gas,turbo,4,berline,avant,devant,2.52,4.74,1.69,1.42,1.42,double ACT,4,1983.0,injection multipoint multipoint port unique,3.54,3.07,9.0,160,5500,12.379714894736843,9.046714730769231,18620.0,99e,saab
138,139,2,gas,standard,2,hayon,avant,devant,2.38,3.99,1.61,1.36,1.02,soupapes en tête à flux croisés,4,1590.0,carburateur 2 corps,3.62,2.36,9.0,69,4900,7.587567193548387,6.533738416666667,5118.0,,subaru
139,140,2,gas,standard,2,hayon,avant,devant,2.38,4.01,1.62,1.36,1.06,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,8.7,73,4400,9.046714730769231,7.587567193548387,7053.0,dl,subaru
140,141,2,gas,standard,2,hayon,4motrice,devant,2.37,4.0,1.62,1.41,1.12,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,8.7,73,4400,9.046714730769231,7.587567193548387,7603.0,dl,subaru
141,142,0,gas,standard,4,berline,avant,devant,2.47,4.37,1.66,1.33,1.07,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,9.5,82,4800,7.35045571875,6.357150891891892,7126.0,,subaru
142,143,0,gas,standard,4,berline,avant,devant,2.47,4.37,1.66,1.33,1.1,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,9.5,82,4400,8.400520821428572,7.127714636363637,7775.0,brz,subaru
143,144,0,gas,standard,4,berline,avant,devant,2.47,4.37,1.66,1.33,1.17,soupapes en tête à flux croisés,4,1770.0,injection multipoint multipoint port unique,3.62,2.64,9.0,94,5200,9.046714730769231,7.35045571875,9960.0,baja,subaru
144,145,0,gas,standard,4,berline,4motrice,devant,2.46,4.37,1.66,1.38,1.19,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,9.0,82,4800,9.800607625,9.40858332,9233.0,r1,subaru
145,146,0,gas,turbo,4,berline,4motrice,devant,2.46,4.37,1.66,1.38,1.25,soupapes en tête à flux croisés,4,1770.0,injection multipoint multipoint port unique,3.62,2.64,7.7,111,4800,9.800607625,8.110847689655172,11259.0,r2,subaru
146,147,0,gas,standard,4,break,avant,devant,2.46,4.41,1.66,1.35,1.14,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,9.0,82,4800,8.400520821428572,7.35045571875,7463.0,trezia,subaru
147,148,0,gas,standard,4,break,avant,devant,2.46,4.41,1.66,1.35,1.23,soupapes en tête à flux croisés,4,1770.0,injection multipoint multipoint port unique,3.62,2.64,9.0,94,5200,9.40858332,7.587567193548387,10198.0,tribeca,subaru
148,149,0,gas,standard,4,break,4motrice,devant,2.46,4.41,1.66,1.39,1.21,soupapes en tête à flux croisés,4,1770.0,carburateur 2 corps,3.62,2.64,9.0,82,4800,10.226721,8.110847689655172,8013.0,dl,subaru
149,150,0,gas,turbo,4,break,4motrice,devant,2.46,4.41,1.66,1.39,1.32,soupapes en tête à flux croisés,4,1770.0,injection multipoint multipoint port unique,3.62,2.64,7.7,111,4800,10.226721,10.226721,11694.0,dl,subaru
150,151,1,gas,standard,2,hayon,avant,devant,2.43,4.03,1.62,1.38,0.99,ACT,4,1508.0,carburateur 2 corps,3.05,3.03,9.0,62,4800,6.720416657142858,6.031143153846154,5348.0,corona mark ii,toyota
151,152,1,gas,standard,2,hayon,avant,devant,2.43,4.03,1.62,1.38,1.02,ACT,4,1508.0,carburateur 2 corps,3.05,3.03,9.0,62,4800,7.587567193548387,6.189857447368421,6338.0,corona,toyota
152,153,1,gas,standard,4,hayon,avant,devant,2.43,4.03,1.62,1.38,1.01,ACT,4,1508.0,carburateur 2 corps,3.05,3.03,9.0,62,4800,7.587567193548387,6.189857447368421,6488.0,corolla 1200,toyota
153,154,0,gas,standard,4,break,avant,devant,2.43,4.31,1.62,1.5,1.14,ACT,4,1508.0,carburateur 2 corps,3.05,3.03,9.0,62,4800,7.587567193548387,6.357150891891892,6918.0,corona hardtop,toyota
154,155,0,gas,standard,4,break,4motrice,devant,2.43,4.31,1.62,1.5,1.14,ACT,4,1508.0,carburateur 2 corps,3.05,3.03,9.0,62,4800,8.711651222222223,7.35045571875,7898.0,corolla 1600 (sw),toyota
155,156,0,gas,standard,4,break,4motrice,devant,2.43,4.31,1.62,1.5,1.56,ACT,4,1508.0,carburateur 2 corps,3.05,3.03,9.0,62,4800,8.711651222222223,7.35045571875,8778.0,carina,toyota
156,157,0,gas,standard,4,berline,avant,devant,2.43,4.22,1.64,1.35,1.04,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,7.840486100000001,6.357150891891892,6938.0,mark ii,toyota
157,158,0,gas,standard,4,hayon,avant,devant,2.43,4.22,1.64,1.34,1.05,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,7.840486100000001,6.357150891891892,7198.0,corolla 1200,toyota
158,159,0,diesel,standard,4,berline,avant,devant,2.43,4.22,1.64,1.35,1.14,ACT,4,1803.0,injection indirecte,3.27,3.35,22.5,56,4500,6.9180759705882355,6.533738416666667,7898.0,corona,toyota
159,160,0,diesel,standard,4,hayon,avant,devant,2.43,4.22,1.64,1.34,1.14,ACT,4,1803.0,injection indirecte,3.27,3.35,22.5,56,4500,6.189857447368421,5.004565595744681,7788.0,corolla,toyota
160,161,0,gas,standard,4,berline,avant,devant,2.43,4.22,1.64,1.35,1.05,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,6.189857447368421,5.004565595744681,7738.0,corona,toyota
161,162,0,gas,standard,4,hayon,avant,devant,2.43,4.22,1.64,1.34,1.06,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,8.400520821428572,6.9180759705882355,8358.0,corolla,toyota
162,163,0,gas,standard,4,berline,avant,devant,2.43,4.22,1.64,1.34,1.07,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,8.400520821428572,6.9180759705882355,9258.0,mark ii,toyota
163,164,1,gas,standard,2,berline,arriere,devant,2.4,4.28,1.63,1.34,1.08,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,8.110847689655172,6.9180759705882355,8058.0,corolla liftback,toyota
164,165,1,gas,standard,2,hayon,arriere,devant,2.4,4.28,1.63,1.34,1.1,ACT,4,1606.0,carburateur 2 corps,3.19,3.03,9.0,70,4800,8.110847689655172,6.9180759705882355,8238.0,corona,toyota
165,166,1,gas,standard,2,berline,arriere,devant,2.4,4.28,1.63,1.34,1.13,double ACT,4,1606.0,injection multipoint multipoint port unique,3.24,3.08,9.4,112,6600,9.046714730769231,8.110847689655172,9298.0,celica gt liftback,toyota
166,167,1,gas,standard,2,hayon,arriere,devant,2.4,4.28,1.63,1.34,1.15,double ACT,4,1606.0,injection multipoint multipoint port unique,3.24,3.08,9.4,112,6600,9.046714730769231,8.110847689655172,9538.0,corolla tercel,toyota
167,168,2,gas,standard,2,coupe,arriere,devant,2.5,4.48,1.67,1.32,1.27,ACT,4,2393.0,injection multipoint multipoint port unique,3.62,3.5,9.3,116,4800,9.800607625,7.840486100000001,8449.0,corona liftback,toyota
168,169,2,gas,standard,2,coupe,arriere,devant,2.5,4.48,1.67,1.32,1.27,ACT,4,2393.0,injection multipoint multipoint port unique,3.62,3.5,9.3,116,4800,9.800607625,7.840486100000001,9639.0,corolla,toyota
169,170,2,gas,standard,2,hayon,arriere,devant,2.5,4.48,1.67,1.32,1.28,ACT,4,2393.0,injection multipoint multipoint port unique,3.62,3.5,9.3,116,4800,9.800607625,7.840486100000001,9989.0,starlet,toyota
170,171,2,gas,standard,2,coupe,arriere,devant,2.5,4.48,1.67,1.32,1.34,ACT,4,2393.0,injection multipoint multipoint port unique,3.62,3.5,9.3,116,4800,9.800607625,7.840486100000001,11199.0,tercel,toyota
171,172,2,gas,standard,2,hayon,arriere,devant,2.5,4.48,1.67,1.32,1.36,ACT,4,2393.0,injection multipoint multipoint port unique,3.62,3.5,9.3,116,4800,9.800607625,7.840486100000001,11549.0,corolla,toyota
172,173,2,gas,standard,2,decapotable,arriere,devant,2.5,4.48,1.67,1.35,1.49,ACT,4,2393.0,injection multipoint multipoint port unique,3.62,3.5,9.3,116,4800,9.800607625,7.840486100000001,17669.0,cressida,toyota
173,174,-1,gas,standard,4,berline,avant,devant,2.6,4.46,1.69,1.39,1.16,ACT,4,1999.0,injection multipoint multipoint port unique,3.31,3.54,8.7,92,4200,8.110847689655172,6.9180759705882355,8948.0,corolla,toyota
174,175,-1,diesel,turbo,4,berline,avant,devant,2.6,4.46,1.69,1.39,1.24,ACT,4,1803.0,injection indirecte,3.27,3.35,22.5,73,4500,7.840486100000001,7.127714636363637,10698.0,celica gt,toyota
175,176,-1,gas,standard,4,hayon,avant,devant,2.6,4.46,1.69,1.37,1.21,ACT,4,1999.0,injection multipoint multipoint port unique,3.31,3.54,8.7,92,4200,8.711651222222223,7.35045571875,9988.0,corona,toyota
176,177,-1,gas,standard,4,berline,avant,devant,2.6,4.46,1.69,1.39,1.21,ACT,4,1999.0,injection multipoint multipoint port unique,3.31,3.54,8.7,92,4200,8.711651222222223,7.35045571875,10898.0,corolla,toyota
177,178,-1,gas,standard,4,hayon,avant,devant,2.6,4.46,1.69,1.37,1.23,ACT,4,1999.0,injection multipoint multipoint port unique,3.31,3.54,8.7,92,4200,8.711651222222223,7.35045571875,11248.0,mark ii,toyota
178,179,3,gas,standard,2,hayon,arriere,devant,2.61,4.66,1.72,1.32,1.49,double ACT,6,2802.0,injection multipoint multipoint port unique,3.27,3.35,9.3,161,5200,11.76072915,9.800607625,16558.0,corolla liftback,toyota
179,180,3,gas,standard,2,hayon,arriere,devant,2.61,4.66,1.72,1.32,1.51,double ACT,6,2802.0,injection multipoint multipoint port unique,3.27,3.35,9.3,161,5200,12.379714894736843,9.800607625,15998.0,corona,toyota
180,181,-1,gas,standard,4,berline,arriere,devant,2.65,4.77,1.69,1.37,1.57,double ACT,6,2802.0,injection multipoint multipoint port unique,3.27,3.35,9.2,156,5200,11.76072915,9.800607625,15690.0,starlet,toyota
181,182,-1,gas,standard,4,break,arriere,devant,2.65,4.77,1.69,1.37,1.58,double ACT,6,2638.0,injection multipoint multipoint port unique,3.27,3.35,9.2,156,5200,12.379714894736843,9.800607625,15750.0,tercel,toyota
182,183,2,diesel,standard,2,berline,avant,devant,2.47,4.36,1.66,1.41,1.13,ACT,4,1590.0,injection indirecte,3.01,3.4,23.0,52,4800,6.357150891891892,5.1133605,7775.0,rabbit,volkswagen
183,184,2,gas,standard,2,berline,avant,devant,2.47,4.36,1.66,1.41,1.1,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,9.0,85,5250,8.711651222222223,6.9180759705882355,7975.0,1131 deluxe sedan,volkswagen
184,185,2,diesel,standard,4,berline,avant,devant,2.47,4.36,1.66,1.41,1.13,ACT,4,1590.0,injection indirecte,3.01,3.4,23.0,52,4800,6.357150891891892,5.1133605,7995.0,model 111,volkswagen
185,186,2,gas,standard,4,berline,avant,devant,2.47,4.36,1.66,1.41,1.11,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,9.0,85,5250,8.711651222222223,6.9180759705882355,8195.0,type 3,volkswagen
186,187,2,gas,standard,4,berline,avant,devant,2.47,4.36,1.66,1.41,1.14,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,9.0,85,5250,8.711651222222223,6.9180759705882355,8495.0,411 (sw),volkswagen
187,188,2,diesel,turbo,4,berline,avant,devant,2.47,4.36,1.66,1.41,1.16,ACT,4,1590.0,injection indirecte,3.01,3.4,23.0,68,4500,6.357150891891892,5.600347214285715,9495.0,super beetle,volkswagen
188,189,2,gas,standard,4,berline,avant,devant,2.47,4.36,1.66,1.41,1.15,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,10.0,100,5500,9.046714730769231,7.35045571875,9995.0,dasher,volkswagen
189,190,3,gas,standard,2,decapotable,avant,devant,2.4,4.05,1.63,1.41,1.13,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,8.5,90,5500,9.800607625,8.110847689655172,11595.0,dasher,volkswagen
190,191,3,gas,standard,2,hayon,avant,devant,2.4,4.21,1.63,1.31,1.11,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,8.5,90,5500,9.800607625,8.110847689655172,9980.0,rabbit,volkswagen
191,192,0,gas,standard,4,berline,avant,devant,2.55,4.58,1.7,1.4,1.33,ACT,5,2229.0,injection multipoint multipoint port unique,3.19,3.4,8.5,110,5500,12.379714894736843,9.800607625,13295.0,rabbit,volkswagen
192,193,0,diesel,turbo,4,berline,avant,devant,2.55,4.58,1.7,1.4,1.29,ACT,4,1590.0,injection indirecte,3.01,3.4,23.0,68,4500,7.127714636363637,6.189857447368421,13845.0,rabbit custom,volkswagen
193,194,0,gas,standard,4,break,avant,devant,2.55,4.65,1.7,1.4,1.28,ACT,4,1786.0,injection multipoint multipoint port unique,3.19,3.4,9.0,88,5500,9.40858332,7.587567193548387,12290.0,dasher,volkswagen
194,195,-2,gas,standard,4,berline,arriere,devant,2.65,4.8,1.71,1.43,1.46,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,9.5,114,5400,10.226721,8.400520821428572,12940.0,145e (sw),volvo
195,196,-1,gas,standard,4,break,arriere,devant,2.65,4.8,1.71,1.46,1.52,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,9.5,114,5400,10.226721,8.400520821428572,13415.0,144ea,volvo
196,197,-2,gas,standard,4,berline,arriere,devant,2.65,4.8,1.71,1.43,1.47,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,9.5,114,5400,9.800607625,8.400520821428572,15985.0,244dl,volvo
197,198,-1,gas,standard,4,break,arriere,devant,2.65,4.8,1.71,1.46,1.52,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,9.5,114,5400,9.800607625,8.400520821428572,16515.0,245,volvo
198,199,-2,gas,turbo,4,berline,arriere,devant,2.65,4.8,1.71,1.43,1.52,ACT,4,2130.0,injection multipoint multipoint port unique,3.62,3.15,7.5,162,5100,13.836151941176471,10.691571954545454,18420.0,264gl,volvo
199,200,-1,gas,turbo,4,break,arriere,devant,2.65,4.8,1.71,1.46,1.58,ACT,4,2130.0,injection multipoint multipoint port unique,3.62,3.15,7.5,162,5100,13.836151941176471,10.691571954545454,18950.0,diesel,volvo
200,201,-1,gas,standard,4,berline,arriere,devant,2.77,4.8,1.75,1.41,1.48,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,9.5,114,5400,10.226721,8.400520821428572,16845.0,145e (sw),volvo
201,202,-1,gas,turbo,4,berline,arriere,devant,2.77,4.8,1.75,1.41,1.52,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,8.7,160,5300,12.379714894736843,9.40858332,19045.0,144ea,volvo
202,203,-1,gas,standard,4,berline,arriere,devant,2.77,4.8,1.75,1.41,1.51,soupapes en tête à manchon,6,2835.0,injection multipoint multipoint port unique,3.58,2.87,8.8,134,5500,13.067476833333334,10.226721,21485.0,244dl,volvo
203,204,-1,diesel,turbo,4,berline,arriere,devant,2.77,4.8,1.75,1.41,1.61,ACT,6,2376.0,injection indirecte,3.01,3.4,23.0,106,4800,9.046714730769231,8.711651222222223,22470.0,246,volvo
204,205,-1,gas,turbo,4,berline,arriere,devant,2.77,4.8,1.75,1.41,1.53,ACT,4,2311.0,injection multipoint multipoint port unique,3.78,3.15,9.5,114,5400,12.379714894736843,9.40858332,22625.0,264gl,volvo
